sku;keyword;sessions;users;impressions;clicks;detail;add_from_impressions;add_from_detail;avail_01;avail_02
477711;камень;375;286;586;3;3;0;0;;
7539;анкер;2117;1769;2809;6;6;6;0;;
441723;насос;138;111;173;0;0;0;0;;
123736;двери;515;434;717;2;2;0;0;;
167158;плинтус напольный;706;525;1205;19;22;3;6;;
21260;керамогранит;4988;3465;8626;36;44;3;16;;
57100;теплый пол;246;234;297;0;0;0;0;;
130969;замок врезной;233;185;341;0;0;0;0;;
201982;светильники;358;294;533;4;4;3;0;;
18445;утеплитель;11260;8023;16917;4;3;1;0;;
252851;пвх плитка;560;417;962;2;2;0;0;;
443746;ceresit клей;153;124;231;2;7;0;0;;
413760;гвозди;2257;1831;3122;0;0;0;0;;
154902;дверь;850;736;1085;1;1;0;0;;
23057;cerezit;115;99;138;0;0;0;0;;
130198;дверь;147;137;158;0;0;0;0;;
55865;краски;245;208;346;2;2;0;0;;
149093;декоративная штукатурка;727;546;1186;0;0;0;0;;
487867;розетка;421;352;536;0;0;3;0;;
487864;рамка;194;138;283;3;3;0;0;;
467245;зеркало;709;598;999;2;2;0;0;;
132557;радиатор;165;143;229;0;0;0;0;;
34304;порог;400;319;642;2;2;1;0;;
133304;метизы;187;175;225;0;0;0;0;;
444215;кирпич;2424;1739;3666;2;2;0;0;;
111245;стекловата;81;56;118;1;1;0;0;;
191212;труба 50;322;271;401;0;0;0;0;;
19222;направляющие;382;314;514;2;2;0;0;;
96318;краска для потолка;291;169;599;8;10;0;1;;
187105;краска фасадная;648;451;1163;4;4;0;1;;
57484;анкер;2528;2105;3458;9;8;5;1;;
109808;сверло;892;781;1188;0;0;0;0;;
7664;гипсокартон;166;152;192;0;0;0;0;;
232650;линолеум;592;524;781;1;1;0;0;;
479215;смеситель для кухни;876;601;1654;5;6;1;0;;
208618;масло;846;670;1186;13;16;1;1;;
108160;плитка керамическая;844;657;1322;4;4;0;0;;
127374;профиль knauf;233;186;331;1;1;0;0;;
453274;гибкая черепица;934;631;1610;2;3;0;0;;
468227;розетка;926;837;1193;0;0;0;0;;
146304;ключ;199;193;235;0;0;0;0;;
117785;теплокнауф;617;412;969;30;33;9;1;;
233275;сверло;208;194;277;1;1;0;0;;
151891;плинтус;566;522;618;0;0;1;0;;
14599;кювета;398;334;515;23;25;1;2;;
9697;плинтус;180;166;196;0;0;0;0;;
108156;плитка для пола;390;298;637;0;1;0;0;;
2865;двп;1996;1392;2986;0;0;0;0;;
205507;плинтус;316;297;357;0;0;0;0;;
14824;лакра;469;408;636;3;3;0;0;;
134526;плинтус;246;230;273;0;0;0;0;;
447680;пиломатериалы;182;143;253;5;4;0;0;;
244004;штанга;239;217;275;0;0;0;0;;
432826;армстронг;755;550;1204;22;22;1;0;;
109846;сверло;311;280;416;2;3;0;0;;
212992;смеситель для кухни;77;60;151;0;0;0;0;;
83859;штукатурка гипсовая;677;479;1168;1;2;0;0;;
1944;плитонит в;318;220;387;71;75;8;14;;
454323;цсп;5881;3492;8737;1;4;1;0;;
56476;труба канализации;193;145;315;3;3;4;5;;
212999;смеситель для кухни;1143;783;2339;11;17;0;1;;
14213;линолеум;8260;5849;14329;42;43;0;3;;
13830;уголок;626;571;752;1;1;0;0;;
8150;двп;5283;3643;7630;0;0;0;0;;
167025;пластик;145;124;178;0;0;0;0;;
369961;эмаль;150;132;194;0;0;0;0;;
40118;штукатурка;534;435;723;7;9;1;2;;
24746;газобетон;276;221;415;0;0;0;0;;
179244;доска;1184;823;1731;9;13;17;2;;
245566;провода;232;154;329;1;2;1;0;;
105260;плинтус мдф;345;252;513;4;4;1;0;;
159814;кисточка;556;483;827;3;3;2;1;;
28747;хомут;252;235;273;0;0;0;0;;
5445;knauf;1017;822;1397;4;4;1;1;;
217575;ламинат 33кл;13;2;16;0;0;0;0;;
475478;мойка;1185;832;1894;3;5;0;0;;
127742;сверло;575;518;760;3;3;0;0;;
473432;краска;252;239;332;2;2;0;0;;
454321;клей;4000;3283;5631;27;32;7;23;;
245570;кабель;218;199;286;0;0;0;0;;
210837;клапан;266;175;373;0;0;0;0;;
43038;труба;160;154;170;0;0;0;0;;
